nohup: ignoring input
Skipping prompt 3: Not enough entries in all_sent_cosines_list
Processing subject 48, group a, timepoint 1
Processing subject 48, group a, timepoint 7
Processing subject 48, group a, timepoint 9
Processing subject 48, group a, timepoint 10
Processing subject 48, group a, timepoint 12
Processing subject 48, group a, timepoint 14
Processing subject 48, group a, timepoint 15
Processing subject 48, group a, timepoint 16
Processing subject 48, group a, timepoint 17
Processing subject 48, group a, timepoint 18
Processing subject 48, group a, timepoint 19
Processing subject 48, group a, timepoint 20
Processing subject 48, group a, timepoint 22
Processing subject 48, group a, timepoint 24
Processing subject 48, group a, timepoint 25
Processing subject 48, group a, timepoint 26
Processing subject 48, group a, timepoint 32
Processing subject 48, group a, timepoint 33
Processing subject 48, group a, timepoint 37
Processing subject 48, group a, timepoint 40
Processing subject 48, group a, timepoint 48
Processing subject 48, group a, timepoint 51
Processing subject 41, group d, timepoint 0
Processing subject 41, group d, timepoint 1
Processing subject 41, group d, timepoint 2
Processing subject 41, group d, timepoint 3
Processing subject 41, group d, timepoint 4
Processing subject 41, group d, timepoint 5
Processing subject 41, group d, timepoint 6
Processing subject 41, group d, timepoint 7
Processing subject 41, group d, timepoint 8
Processing subject 41, group d, timepoint 9
Processing subject 41, group d, timepoint 10
Processing subject 41, group d, timepoint 11
Processing subject 41, group d, timepoint 12
Processing subject 41, group d, timepoint 13
Processing subject 41, group d, timepoint 14
Processing subject 41, group d, timepoint 15
Processing subject 41, group d, timepoint 16
Processing subject 41, group d, timepoint 17
Processing subject 41, group d, timepoint 18
Processing subject 41, group d, timepoint 19
Processing subject 41, group d, timepoint 20
Processing subject 41, group d, timepoint 21
Processing subject 41, group d, timepoint 22
Processing subject 41, group d, timepoint 23
Processing subject 41, group d, timepoint 24
Processing subject 41, group d, timepoint 25
Processing subject 41, group d, timepoint 26
Processing subject 41, group d, timepoint 27
Processing subject 41, group d, timepoint 28
Processing subject 41, group d, timepoint 29
Processing subject 41, group d, timepoint 30
Processing subject 41, group d, timepoint 31
Processing subject 41, group d, timepoint 32
Processing subject 41, group d, timepoint 33
Processing subject 41, group d, timepoint 34
Processing subject 41, group d, timepoint 35
Processing subject 41, group d, timepoint 36
Processing subject 41, group d, timepoint 37
Processing subject 41, group d, timepoint 38
Processing subject 41, group d, timepoint 39
Processing subject 41, group d, timepoint 40
Processing subject 41, group d, timepoint 41
Processing subject 41, group d, timepoint 42
Processing subject 41, group d, timepoint 43
Processing subject 41, group d, timepoint 44
Processing subject 41, group d, timepoint 45
Processing subject 41, group d, timepoint 46
Processing subject 41, group d, timepoint 47
Processing subject 41, group d, timepoint 48
Processing subject 41, group d, timepoint 49
Processing subject 41, group d, timepoint 50
Processing subject 41, group d, timepoint 51
Processing subject 41, group c, timepoint 0
Processing subject 41, group c, timepoint 1
Processing subject 41, group c, timepoint 2
Processing subject 41, group c, timepoint 3
Processing subject 41, group c, timepoint 4
Processing subject 41, group c, timepoint 5
Processing subject 41, group c, timepoint 6
Processing subject 41, group c, timepoint 7
Processing subject 41, group c, timepoint 8
Processing subject 41, group c, timepoint 9
Processing subject 41, group c, timepoint 10
Processing subject 41, group c, timepoint 11
Processing subject 41, group c, timepoint 12
Processing subject 41, group c, timepoint 13
Processing subject 41, group c, timepoint 14
Processing subject 41, group c, timepoint 15
Processing subject 41, group c, timepoint 16
Processing subject 41, group c, timepoint 17
